Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,User ID,Rating
176558,USB-C Charging Cable,2,11.95,04/19/19 08:46,"917 1st St, Dallas, TX 75001",DefaultUserID,3
176559,Bose SoundSport Headphones,1,99.99,04/07/19 22:30,"682 Chestnut St, Boston, MA 02215",DefaultUserID,2
176560,Google Phone,1,600.0,04/12/19 14:38,"669 Spruce St, Los Angeles, CA 90001",DefaultUserID,5
176560,Wired Headphones,1,11.99,04/12/19 14:38,"669 Spruce St, Los Angeles, CA 90001",DefaultUserID,4
176561,Wired Headphones,1,11.99,04/30/19 09:27,"333 8th St, Los Angeles, CA 90001",DefaultUserID,4
176562,USB-C Charging Cable,1,11.95,04/29/19 13:03,"381 Wilson St, San Francisco, CA 94016",DefaultUserID,5
176563,Bose SoundSport Headphones,1,99.99,04/02/19 07:46,"668 Center St, Seattle, WA 98101",DefaultUserID,2
176564,USB-C Charging Cable,1,11.95,04/12/19 10:58,"790 Ridge St, Atlanta, GA 30301",DefaultUserID,4
176565,Macbook Pro Laptop,1,1700.0,04/24/19 10:38,"915 Willow St, San Francisco, CA 94016",DefaultUserID,4
176566,Wired Headphones,1,11.99,04/08/19 14:05,"83 7th St, Boston, MA 02215",DefaultUserID,3
176567,Google Phone,1,600.0,04/18/19 17:18,"444 7th St, Los Angeles, CA 90001",DefaultUserID,4
176568,Lightning Charging Cable,1,14.95,04/15/19 12:18,"438 Elm St, Seattle, WA 98101",DefaultUserID,1
176569,27in 4K Gaming Monitor,1,389.99,04/16/19 19:23,"657 Hill St, Dallas, TX 75001",DefaultUserID,3
176570,AA Batteries (4-pack),1,3.84,04/22/19 15:09,"186 12th St, Dallas, TX 75001",DefaultUserID,2
176571,Lightning Charging Cable,1,14.95,04/19/19 14:29,"253 Johnson St, Atlanta, GA 30301",DefaultUserID,3
176572,Apple Airpods Headphones,1,150.0,04/04/19 20:30,"149 Dogwood St, New York City, NY 10001",DefaultUserID,5
176573,USB-C Charging Cable,1,11.95,04/27/19 18:41,"214 Chestnut St, San Francisco, CA 94016",DefaultUserID,5
176574,Google Phone,1,600.0,04/03/19 19:42,"20 Hill St, Los Angeles, CA 90001",DefaultUserID,2
176574,USB-C Charging Cable,1,11.95,04/03/19 19:42,"20 Hill St, Los Angeles, CA 90001",DefaultUserID,1
176575,AAA Batteries (4-pack),1,2.99,04/27/19 00:30,"433 Hill St, New York City, NY 10001",DefaultUserID,2
176576,Apple Airpods Headphones,1,150.0,04/28/19 11:42,"771 Ridge St, Los Angeles, CA 90001",DefaultUserID,3
176577,Apple Airpods Headphones,1,150.0,04/04/19 19:25,"260 Spruce St, Dallas, TX 75001",DefaultUserID,2
176578,Apple Airpods Headphones,1,150.0,04/09/19 23:35,"513 Church St, Boston, MA 02215",DefaultUserID,5
176579,AA Batteries (4-pack),1,3.84,04/11/19 10:23,"886 Jefferson St, New York City, NY 10001",DefaultUserID,2
176580,USB-C Charging Cable,1,11.95,04/05/19 00:35,"886 Willow St, Los Angeles, CA 90001",DefaultUserID,1
176581,iPhone,1,700.0,04/09/19 21:38,"84 Jackson St, Boston, MA 02215",DefaultUserID,5
176582,Bose SoundSport Headphones,1,99.99,04/27/19 12:20,"178 Lincoln St, Atlanta, GA 30301",DefaultUserID,2
176583,AAA Batteries (4-pack),2,2.99,04/20/19 12:00,"146 Jackson St, Portland, OR 97035",DefaultUserID,5
176584,Flatscreen TV,1,300.0,04/24/19 20:39,"936 Church St, San Francisco, CA 94016",DefaultUserID,3
176585,Bose SoundSport Headphones,1,99.99,04/07/19 11:31,"823 Highland St, Boston, MA 02215",DefaultUserID,4
176585,Bose SoundSport Headphones,1,99.99,04/07/19 11:31,"823 Highland St, Boston, MA 02215",DefaultUserID,3
176586,AAA Batteries (4-pack),2,2.99,04/10/19 17:00,"365 Center St, San Francisco, CA 94016",DefaultUserID,4
176586,Google Phone,1,600.0,04/10/19 17:00,"365 Center St, San Francisco, CA 94016",DefaultUserID,1
